CollationId,Variant,Classic
40001001001,,βιβλοσ
40001001002,,γενεσεωσ
40001001003,,ιησου
40001001004,,χριστου
40001001005,,υιου
40001001006,,δαυιδ
40001001007,,υιου
40001001008,,αβρααμ
40001002001,,αβρααμ
40001002002,V,εγεννησεν
40001002003,,τον
40001002004,,ισαακ
40001002005,,ισαακ
40001002006,V,δε
40001002007,V,εγεννησεν
40001002008,,τον
40001002009,,ιακωβ
40001002010,,ιακωβ
40001002011,,δε
40001002012,V,εγεννησεν
40001002013,,τον
40001002014,,ιουδαν
40001002015,,και
40001002016,,τουσ
40001002017,,αδελφουσ
40001002018,,αυτου
40001003001,,ιουδασ
40001003002,,δε
40001003003,V,εγεννησεν
40001003004,,τον
40001003005,,φαρεσ
40001003006,,και
40001003007,,τον
40001003008,,ζαρα
40001003009,,εκ
40001003010,,τησ
40001003011,,θαμαρ
40001003012,,φαρεσ
40001003013,,δε
40001003014,V,εγεννησεν
40001003015,,τον
40001003016,,εσρωμ
40001003017,,εσρωμ
40001003018,,δε
40001003019,V,εγεννησεν
40001003020,,τον
40001003021,,αραμ
40001004001,,αραμ
40001004002,,δε
40001004003,V,εγεννησεν
40001004004,,τον
40001004005,,αμιναδαβ
40001004006,,αμιναδαβ
40001004007,,δε
40001004008,V,εγεννησεν
40001004009,,τον
40001004010,,ναασσων
40001004011,,ναασσων
40001004012,,δε
40001004013,V,εγεννησεν
40001004014,,τον
40001004015,,σαλμων
40001005001,,σαλμων
40001005002,,δε
40001005003,V,εγεννησεν
40001005004,,τον
40001005005,V,βοεσ
40001005006,,εκ
40001005007,,τησ
40001005008,,ραχαβ
40001005009,V,βοεσ
40001005010,,δε
40001005011,V,εγεννησεν
40001005012,,τον
40001005013,V,ιωβηδ
40001005014,,εκ
40001005015,,τησ
40001005016,,ρουθ
40001005017,V,ιωβηδ
40001005018,,δε
40001005019,V,εγεννησεν
40001005020,,τον
40001005021,,ιεσσαι
40001006001,,ιεσσαι
40001006002,,δε
40001006003,V,εγεννησεν
40001006004,,τον
40001006005,,δαυιδ
40001006006,,τον
40001006007,,βασιλεα
40001006008,,δαυιδ
40001006009,,δε
40001006010,V,ο
40001006011,V,βασιλευσ
40001006012,V,εγεννησεν
40001006013,,τον
40001006014,V,σολομωνα
40001006015,,εκ
40001006016,,τησ
40001006017,V,του
40001006018,,ουριου
40001007001,V,σολομων
40001007002,,δε
40001007003,V,εγεννησεν
40001007004,,τον
40001007005,,ροβοαμ
40001007006,,ροβοαμ
40001007007,,δε
40001007008,V,εγεννησεν
40001007009,,τον
40001007010,,αβια
40001007011,V,αβια
40001007012,,δε
40001007013,V,εγεννησεν
40001007014,,τον
40001007015,V,ασαφ
40001008001,V,ασαφ
40001008002,,δε
40001008003,V,εγεννησεν
40001008004,,τον
40001008005,,ιωσαφατ
40001008006,,ιωσαφατ
40001008007,,δε
40001008008,V,εγεννησεν
40001008009,,τον
40001008010,,ιωραμ
40001008011,,ιωραμ
40001008012,,δε
40001008013,V,εγεννησεν
40001008014,,τον
40001008015,,οζιαν
40001009001,,οζιασ
40001009002,,δε
40001009003,V,εγεννησεν
40001009004,,τον
40001009005,,ιωαθαμ
40001009006,,ιωαθαμ
40001009007,,δε
40001009008,V,εγεννησεν
40001009009,,τον
40001009010,,αχαζ
40001009011,,αχαζ
40001009012,,δε
40001009013,V,εγεννησεν
40001009014,,τον
40001009015,,εζεκιαν
40001010001,,εζεκιασ
40001010002,,δε
40001010003,V,εγεννησεν
40001010004,,τον
